Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,38.722500,39.712502,38.557499,39.480000,38.382229,148158800
2019-01-03,35.994999,36.430000,35.500000,35.547501,34.559074,365248800
2019-01-04,36.132500,37.137501,35.950001,37.064999,36.034374,234428400
2019-01-07,37.174999,37.207500,36.474998,36.982498,35.954170,219111200
2019-01-08,37.389999,37.955002,37.130001,37.687500,36.639568,164101200
2019-01-09,37.822498,38.632500,37.407501,38.327499,37.261772,180396400
2019-01-10,38.125000,38.492500,37.715000,38.450001,37.380871,143122800
2019-01-11,38.220001,38.424999,37.877499,38.072498,37.013866,108092800
2019-01-14,37.712502,37.817501,37.305000,37.500000,36.457279,129756800
2019-01-15,37.567501,38.347500,37.512501,38.267502,37.203445,114843600
2019-01-16,38.270000,38.970001,38.250000,38.735001,37.657944,122278800
2019-01-17,38.549999,39.415001,38.314999,38.965000,37.881554,119284800
2019-01-18,39.375000,39.470001,38.994999,39.205002,38.114876,135004000
2019-01-22,39.102501,39.182499,38.154999,38.325001,37.259342,121576000
2019-01-23,38.537498,38.785000,37.924999,38.480000,37.410038,92522400
2019-01-24,38.527500,38.619999,37.935001,38.174999,37.113506,101766000
2019-01-25,38.869999,39.532501,38.580002,39.439999,38.343338,134142000
2019-01-28,38.947498,39.082500,38.415001,39.075001,37.988495,104768400
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.594753,166348800
2019-01-30,40.812500,41.537498,40.057499,41.312500,40.163773,244439200
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.452995,162958400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.472443,130672400
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.622070,125982000
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.334198,144406400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.348785,112958400
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.546722,126966800
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.595543,95280000
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.356323,83973600
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.712704,89134000
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.539387,89960800
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.690731,87342800
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.597984,98507200
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.722462,75891200
